id,conversation_id,customer_message,predicted_intent,action,generated_reply,human_groundedness,human_helpfulness,human_correctness,human_relevance,human_brand_consistency,human_unsupported_claims,human_escalation_appropriateness,human_overall,llm_groundedness,llm_helpfulness,llm_relevance,llm_overall,status
human_eval_011,conv_191492,[BRAND] Sure...,other_general,ESCALATE,Hello! [USER] I’d like to assist you with this. Please fill this form: [URL] and I’ll contact you at the earliest. ^ST,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_012,conv_234559,"[USER] [BRAND] if I have ordered a product in Prime and delivery is to be provided in one day, but isn't. I should get a refund...",refund_return_request,ESCALATE,Hello! [USER] Thank you for letting us know. We'd like to review your delivery and available options here: [URL] ^SC,,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_013,conv_169575,[BRAND] wann wird pretty Little liars Staffel 7 auf deutsch erscheinen,other_general,ESCALATE,"Hello! [USER] Hi, hast du dich über den Link gemeldet? Wie bist du mit uns verblieben? Gruß ^MI",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_014,conv_182724,"[BRAND] Eu não tenho um, tenho vários. Namorado de aluguel, Escola Noturna, Trilogia o Legado de Syrena, Até eu te encontrar da [USER]",other_general,ESCALATE,"Hello! [USER] Neste caso, por favor entre em contato com o nosso SAC para resolver o seu problem. Acesse o seguinte link: [URL] ^JJ",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_015,conv_177362,"[BRAND] But how to I tell if I have the right option? I’ve purchased the wrong movie twice so far, and while your customer service is wonderful I don’t want to be calling them every few minutes.",information_request,AUTO_HANDLE,"Hello! [USER] Twitter being social platform, we won't be able to access your account details from here. Please fill in your details in the link provided earlier and we'll do the needful. ^VN",,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_016,conv_140953,[BRAND] Die 3 für 2 Aktion für Vinyl. Hatte schon den ganzen Warenkorb voll...,other_general,ESCALATE,Hello! [USER] Manchmal auch nur 1 Tag 😃 Den aktuellen Stand deiner Bestellung findest du im Kundenkonto. Gruß ^MH,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_017,conv_206956,[BRAND] Yeah,other_general,ESCALATE,"Hello! [USER] Thank you for confirming. If you have shared your details, our team will get back to you soon. ^AG",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_018,conv_36567,[BRAND] Hi I’ve had a parcel go missing I’ve already informed Royal Mail but they said I have to let you know that’s it’s gone missing is order number 204-0980251-0540346 do I have to do anything your end or nah??,missing_defective_item,ESCALATE,Hello! [USER] Did the e-mail suggest waiting 36 hours to allow the carrier to deliver? For more info: [URL] ^TK,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_019,conv_235774,[BRAND] 😑 [URL],other_general,ESCALATE,"Hello! [USER] Rassurez-vous le colis est bien en cours d'acheminement , j'espère que vous le recevriez rapidement avant 20h ! ^KE",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_020,conv_21464,[BRAND] No reply from your hand yet,other_general,ESCALATE,Hello! [USER] Please check for a correspondence from social media team here: [URL] ^AP,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_021,conv_21464,[BRAND] No reply from your hand yet,other_general,ESCALATE,Hello! [USER] Please check for a correspondence from social media team here: [URL] ^AP,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_022,conv_18729,[BRAND] [URL],other_general,ESCALATE,Hello! Please reach out to our support team with your order details so we can assist.,,,,,,,,,2.5,4.5,4.8,4.16,PENDING_HUMAN_RATING
human_eval_023,conv_206045,"[BRAND] That, my dear [BRAND], is a lot of bull. Spoken to last mile delivery team. They're waiting for exec to return to work for an update 😂",refund_return_request,ESCALATE,"Hello! [USER] Hi, without posting any of your account details here, can you tell us a bit more about what happened? ^BZ",,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_024,conv_206860,[BRAND] I've done all those things - it's not anywhere!,other_general,ESCALATE,"Hello! [USER] Great, thanks for confirming Amy. ^TS",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_025,conv_230174,[BRAND] [USER] Waiting for revert. [URL],other_general,ESCALATE,Hello! [USER] I'm sorry you were charged unexpectedly. Please call or e-mail us here for further assistance: [URL] ^MV,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_026,conv_65887,[BRAND] Have already cancelled order mentioned since there was no meaning in delivered after valuable time. We live in a very much time respecting world and I wish this can be improved later by [USER] and delivery team. Unfortunately nobody called up for reason of order cancellation.,delivery_issue,ESCALATE,Hello! [USER] Sorry about the delay. Could you confirm if your order was placed on Amazon.in or [URL] ^HD,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_027,conv_64222,"[BRAND] Your assistance cannot cannect me, Can't cannect on costumer care. Facing so many problem, Than I using social media platform, tell your assistant to contact me, on call or email",other_general,ESCALATE,"Hello! [USER] You have reached out to us by tweeting. As we cannot check your order details here, kindly connect with our support team. ^RW",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_028,conv_77383,[BRAND] Ok. De todas formas antes les escribí para darles una nueva dirección y me ponen que espere respuesta en dos días. Cómo viene el finde será el lunes,other_general,ESCALATE,"Hello! [USER] Comprendo. Patty, puedes verificar las opciones de reemplazo o reembolso disponibles para el producto defectuoso a través del siguiente enlace: [URL] ^CR",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_029,conv_182837,"[BRAND] poor customer service over phone, cannot contact carrier. Cannot even locate my item 26hrs... Cannot escalate locally.... [URL]",other_general,ESCALATE,Hello! [USER] I'm sorry you're unable to connect with our support team. Please send us your details using this link: [URL] and we'll get in touch with you. ^AM,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_030,conv_222829,[BRAND] Ya y nada,other_general,ESCALATE,"Hello! [USER] Due to certain courier constraints, we're unable to deliver the items to few pincodes. Kindly check 1/2 ^SH",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_031,conv_142096,[BRAND] Heh. You haven't answered my questions on email either.,other_general,ESCALATE,"Hello! [USER] Thanks for the update, we've received your reply to our correspondence. We'll get back to you at the earliest. ^SC",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_032,conv_98708,[BRAND] I rcv a call but ivr lady says that they can't find details of my order and finishes the call on her own. That's been the case for the last 10-15 attempts. I have tried different ivr options but not able to get thru in any way. Plz help!,other_general,ESCALATE,"Hello! [USER] Just to confirm, have you tried contacting us via chat or email through the link provided earlier? ^HS",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_033,conv_76001,"[BRAND] The item says “Delivery Date Pending”, I guessed you are out of stock.",delivery_issue,AUTO_HANDLE,"Hello! [USER] Sorry to hear that, have you received any emails in relation to the order? ^JJ",,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_034,conv_181141,[BRAND] no one could says why DE department close my account! Because I never ordered from it!,other_general,ESCALATE,"Hello! [USER] Hi, without posting any of your account details here, can you tell us a bit more about what happened? ^BZ",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_035,conv_16849,[BRAND] Not satisfied,other_general,ESCALATE,Hello! [USER] We'd like to help you. May I know if you replied to our email correspondence ? ^BS,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_036,conv_14012,[BRAND] Don't be silly. Read the Tweet! I NEED 2 KNOW HOW U INSTRUCT CUSTOMERS. What is the plan? We've tenants who think they've the rite 2 store empty AF totes in the common area presumably awaiting PickUp 10+ days is 10 days longer that the small front hall common area can handle.,information_request,AUTO_HANDLE,"Hello! [USER] Hi Laura, I know its frustrating but this could just be a mis-scan. That's why we ask you to wait a little longer as there is a good chance this will still turn up within the next 48 hours. If not we will take full responsibility and replace or refund for you. ^KK",,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_037,conv_45539,[BRAND] just wanted to confirm that call of duty will ship tomorrow if I chose 2 day shipping like it said to do. Currently says friday,other_general,ESCALATE,Hello! [USER] We always strive to get your order to you at the stated expected delivery time that is stated at the time of checkout ^CH,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_038,conv_183313,[BRAND] [USER] not interested in any of your solutions..been 15 days that I have been following #GreatIndianFestival,other_general,ESCALATE,Hello! [USER] Hey! What's up? ^AS,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_039,conv_122054,[BRAND] This is very misleading the price is the same as it always is ! Is this an official amazon black friday deal ? or is the seller just pretending that it is on a black friday deal as I thought a product has to be discounted for it to be on a black friday promotion??,other_general,ESCALATE,"Hello! [USER] As we're unable to view your account via Twitter,pls use the previous link provided as we don't have a direct email address. ^KM",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_040,conv_149077,[BRAND] Vendredi 24 novembre entre 19h et 22h et sur le site TNT livraison estimé le 25 [URL],other_general,ESCALATE,"Hello! [USER] Je suis désolée pour cela. L'avez-vous signalé à notre service client, je vous prie ? ^SB",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_041,conv_120232,[BRAND] Why would Belgian customers pay for #Prime Video if we cannot order the Fire TV Stick and the Prime Video app doesn't support #Chromecast ? #fail #AmazonDE [URL] [URL],prime_membership_issue,AUTO_HANDLE,Hello! [USER] You can see all compatible Amazon Video devices here: [URL] ^AF,,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_042,conv_54367,[BRAND] It says its suppose to arrive today at 8 but no updates since 1 pm yesterday and it’s suppose to come USPS,delivery_issue,AUTO_HANDLE,"Hello! [USER] Hello, Michael Packages can be delivered until 21:00. Please let us know If you do not receive your package by the estimated delivery date. ^SC",,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
human_eval_043,conv_80753,"[USER] Hello Sir, I have complaint regarding Amazon India service but none of the customer care person is of any help. I also do not have Amit Agarwal's or contact details of any key people in India. Please hep!! [USER] [BRAND]",other_general,ESCALATE,Hello! [USER] Sorry for the hassle Linson. I'll surely pass on your feedback to the concerned team internally. ^HN,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_044,conv_183405,[BRAND] 解約忘れただけですし、便利なので大丈夫です👌ありがとう御座います👌,other_general,ESCALATE,Hello! [USER] とんでもないです。お困りの際にはご遠慮なくご質問くださいね！今後ともどうぞよろしくお願いいたします。SK,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_045,conv_111828,[BRAND] j'ai reçu un mail pour me dire qu'une enquête était en cour et que le service s'engagé a me recontacter le 27/11/17. En attendant j'oublie mes 290€.,other_general,ESCALATE,Hello! [USER] Par quel moyen avez-vous envoyé les documents (courrier ou fax) ? ^SM,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_046,conv_180634,"[BRAND] Y después de hablar por chat con dos personas dedicadas a la atención al cliente, no saben decirme cuando llegará",other_general,ESCALATE,Hello! [USER] Entiendo Alba. ¿Qué te indicaron nuestros compañeros de Soporte al Cliente sobre lo sucedido? ^LG,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_047,conv_236669,[BRAND] Je viens de remplir le formulaire. 12h à attendre alors que cela fait déjà plus de 72heures que ma boite aux lettres est HS...,other_general,ESCALATE,"Hello! [USER] Bonjour, désolée pour cela, quelle a été la réponse fourni par notre SAV concernant ce souci je vous prie ? ^KE",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_048,conv_46564,Huge thank you to 😁[BRAND] my new remote for my Firestick ❤ arrived...it worked and I'm back in business #HappyWeeyin,other_general,ESCALATE,Hello! [USER] We sure can! How can we help? ^MB,,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_049,conv_75830,The keypad on my Kindle fire has disappeared. The whole thing seems locked. Anyone out there who can advise? [BRAND],other_general,ESCALATE,"Hello! [USER] Oh no! What specific errors are you running into when trying to access Kindle Unlimited? Please let us know, Breana! ^FD",,,,,,,,,4.8,4.5,4.8,4.49,PENDING_HUMAN_RATING
human_eval_050,conv_61023,[BRAND] The problem is not the service itself the problem is that you don't communicate this is gonna happen! 😡 I lost 4 months of membership.,prime_membership_issue,AUTO_HANDLE,Hello! [USER] Hi there- If it is a rolling subscription you wouldn't receive email updates regarding the renewal charge. ^NV,,,,,,,,,4.8,4.5,4.8,4.76,PENDING_HUMAN_RATING
